La Odisea,"epopeya",Homero,8.63,"La odisea es un poema epico que narra las aventuras de Odiseo, tambien conocido como Ulises, en su viaje de regreso a su patria, Itaca, desde el momento en que finaliza la guerra de Troya, narrada en la Iliada, hasta el momento en que finalmente vuelve a su hogar, muchos anyos despues."
La Cabana del Tio Tom,"social,realista",Harriet Beecher,8.52,"Narra principalmente la historia del tio Tom, esclavo que trabaja hace anos en la propiedad de los Shelby, donde vive junto con su familia, y es vendido a un traficante de esclavos. A la par de las peripecias de Tom, que despues de ser vendido cae en manos de diferentes esclavistas violentos, se narra la historia de Eliza, que escapa de la propiedad de los Shelby despues de que su pequeno hijo Harry tambien fuera vendido, como Tom; y tambien la de otros personajes, como Georges Harris, esposo de Eliza, que tambien huye de sus duenos."
Frankenstein,"fantasia",Mary Shelley,7.51,"Frankenstein es una historia macabra en la que Victor, un joven avido de conocimientos cientificos, se obsesiona por lograr el mayor reto posible en el mundo cientifico: dar vida a un cuerpo muerto."
1984,"ciencia ficcion",George Orwell,6.48,"En 1984, Londres esta controlada por un gobieno totalitario. El Gran Hermano lo vigila absolutamente todo. La mano ejecutora, la Policia del Pensamiento, controla cada aspecto de la vida de los ciudadanos."
Todo se derrumba,"realista",Chinua Achebe,6.0,"Okonkwo es un gran guerrero, cuya fama se extiende por toda el africa Occidental, pero cuando mata accidentalmente a un prohombre de su clan es obligado a expiar su culpa con el sacrificio de su hijastro y el exilio. Cuando por fin puede regresar a su aldea, la encuentra repleta de misioneros y gobernadores britanicos; su mundo se desintegra, y el no puede mas que precipitarse hacia la tragedia. Publicada por vez primera en 1958, Todo se desmorona se asocia con las narraciones orales, pero tambien con la tragedia griega y las grandes novelas del XIX."
Las mil y una noches,"ficcion",Varios Autores,8.2,"Es una recopilacion de cuentos del Oriente medieval narrados, supuestamente, por Sherezade. Segun la leyenda, existio un sultan persa que, en venganza por la traicion de su primera esposa, se casaba una mujer cada noche y al dia siguiente la mandaba decapitar."
El Quijote,"satira,ficcion,parodia,caballeria",Miguel de Cervantes Saavedra,9.3,"El ingenioso hidalgo don Quijote de la Mancha narra las aventuras de Alonso Quijano, un hidalgo pobre que de tanto leer novelas de caballeria acaba enloqueciendo y creyendo ser un caballero andante, nombrandose a si mismo como don Quijote de la Mancha."
Hamlet,"tragedia,drama",William Shakespeare,9.2,"Hamlet, probablemente compuesta entre 1599 y 1601, transcurre en Dinamarca y relata como el principe Hamlet lleva a cabo su venganza sobre su tio Claudio quien asesinase al padre de Hamlet, el rey, y ostenta la corona usurpada asi como nupcias con Gertrudis, la madre de Hamlet."
Cien anos de soledad,"ficcion,familiar",Gabriel Garcia Marquez,8.5,"Inspirado por un sueno durante su travesia en la selva, Jose Arcadio Buendia decide quedarse en ese punto del camino y fundar Macondo, pueblo que crece poco a poco. El pueblo recibe con frecuencia las visitas de los gitanos. Su lider, Melquiades, trae siempre artefactos y objetos que obsesionan a Jose Arcadio Buendia."
La iliada,"epopeya",Homero,9.4,"La Iliada es un poema epico en veinticuatro cantos, que tiene como argumento un episodio del ultimo ano de la guerra de Troya: la colera de Aquiles, el mas celebre y valiente soldado griego, contra Agamenon, su comandante, quien le ha robado su esclava Briseida."
Beloved,"ficcion",Toni Morrison,6.2,"Una madre: Sethe, la esclava que mata a su propia hija para salvarla del horror, para que la indignidad del presente no tenga futuro posible. Una hija: Beloved, la nina que desde su nacimiento se alimento de leche mezclada con sangre, y poco a poco fue perdiendo contacto con la realidad por la voluntad de un carino demasiado denso."
La Divina Comedia,"epopeya",Tdante Alighieri,8.6,"La Divina Comedia relata el viaje de Dante por el Infierno, el Purgatorio y el Paraiso, guiado por el poeta romano Virgilio. El poema comienza con el encuentro de Virgilio con Dante, que se ha perdido en una selva y tropieza con bestias salvajes."
Romeo y Julieta,"romance,tragedia",William Shakespeare,9.1,"En Verona, dos jovenes enamorados, de dos familias enemigas, son victimas de una situacion de odio y violencia que ni desean ni pueden remediar. En una de esas tardes de verano en que el calor inflama la sangre, Romeo, recien casado en secreto con su amada Julieta, mata al primo de esta."
Poema de Gilgamesh,"epopeya",Autor Desconocido,6.5,"En ella se cuenta la historia de Gilgamesh, el gran rey de Uruk, sus encuentros con monstruos y dioses, su enfrentamiento y posterior amistad con Enkidu el salvaje, el nacido en las tierras altas, y su arduo viaje en busca del secreto de la inmortalidad."
Harry Potter,"fantasia,ficcion,drama",JK Rowling,8.0,"Harry Potter es una serie de novelas fantasticas escrita por la autora britanica J. K. Rowling, en la que se describen las aventuras del joven aprendiz de magia y hechiceria Harry Potter y sus amigos Hermione Granger y Ron Weasley, durante los anos que pasan en el Colegio Hogwarts de Magia y Hechiceria."
El Cuento de la Criada,"ficcion,tragedia",Margaret Atwood,6.7,"Despues de una guerra civil en Estados Unidos, se implanta un nuevo sistema totalitario y fundamentalista que acata las ordenes del versiculo biblico bajo el nombre de Republica de Gilead. Asi, se forma una nueva sociedad que agrupa a los ciudadanos y los divide por clases."
Los Diez Negritos,"realista,policiaco",Agatha Christie,9.23,"Diez personas son reunidas en un islote y tras la primera cena, son acusados de haber cometido un crimen. El misterio va aumentando cuando son asesinados uno a uno sin motivo aparente."
Ulises,"ficcion",James Joyce,6.24,"Ulises es el relato de un dia en la vida de 3 personajes Leopold Bloom, su mujer Molly y el joven Stephen Dedalus. Un viaje de un dia, una Odisea inversa, en la que los temas topicamente homericos se invierten y subvierten a traves de un grupo decididamente antiheroico cuya tragedia raya la comicidad."
Rebelion en la Granja,"satira,ficcion",Geoge Orwell,7.6,"Los animales de la granja de los Jones se sublevan contra sus duenos humanos y los vencen. Pero la rebelion fracasara al surgir entre ellos rivalidades y envidias, y al aliarse algunos con los amos que derrocaron, traicionando su propia identidad y los intereses de su clase."
Jane Eyre,"romance",Charlotte Bronte,6.45,"Duena de un singular temperamento desde su complicada infancia de huerfana, primero a cargo de una tia poco carinosa y despues en la escuela Lowood, Jane Eyre logra el puesto de institutriz en Thornfield Hall para educar a la hija de su atrabiliario y peculiar dueno, el senor Rochester."
Madame Bovary,"moderno,ficcion",Gustave Flaubert,8.69,"La sonadora Emma, una joven de provincias casada con Charles Bovary, un hombre aburrido incapaz de complacerla y satisfacerla, buscara la realizacion de sus suenos en otros amores, pasionales y platonicos…, pero ninguno de ellos lograra calmar su desesperada ansiedad y sus romanticas inquietudes."
Romance de los Tres Reinos,"historico,ficcion",Luo Guanzhon,4.56,"El Romance de los Tres Reinos escrito por Luo Guanzhong en el siglo XIV, es una novela historica china sobre los acontecimientos en los turbulentos anos a finales de la Dinastia Han y la era de los Tres Reinos, desde 169 d.C. hasta la reunificacion de toda China en el ano 280 d.C."
Viaje al Oeste,"fantasia",Wu Cheng en,6.45,"Viaje al Oeste es una obra china acerca del monje Xuanzang donde el protagonista hace amistad con tres inmortales: un mono llamado Sun Wukong, un duendecillo de agua llamado Sha Seng y un cerdo llamado Zhu Bajie."
Crimen y Castigo,"filosofica,policiaco",Fiodor Dostoievski,9.0,"Crimen y castigo es un profundo analisis psicologico de su protagonista, el joven estudiante Raskolnikov, cuya firme creencia en que los fines humanitarios justifican la maldad le conduce al asesinato de una usurera."
Orgullo y Prejuicio,"romance,historico",Jane Austen,4.2,"La senora Bennet ha criado a sus cinco hijas con el unico deseo de encontrar marido. La llegada al vecindario de Charles Bingley, un joven rico y soltero, con algunas amistades despierta el interes de las hermanas Bennet y de las familias vecinas, que veran una excelente oportunidad para cumplir su proposito."
A la orilla del Agua,"ficcion",Nai an,6.2,"Atribuida a Shi Nai an y escrita en chino, la historia, ambientada durante la dinastia Song, relata como un grupo de 108 forajidos fuera de la ley se encontraron en el Monte Liang (o pantano Liangshan) para formar una fuerza armada considerable antes de que el gobierno les concediera la amnistia y los enviara en campanas para hacer frente a invasores extranjeros y luchar contra fuerzas rebeldes."
Guerra y Paz,"historico,filosofica",Leon Tolstoi,8.45,"A lo largo de sus centenares de paginas, Tolstoi nos cuenta el relato epico de cinco familias rusas durante la invasion napoleonica. Obra monumental, que incluye a mas de quinientos personajes historicos y de ficcion."
Matar a un Ruisenor,"gotico,aprendizaje",Harper Lee,7.36,"Ambientada en la epoca de la Gran Depresion, la pelicula narra la firme defensa del abogado Atticus Finch a favor de un hombre negro acusado injustamente de violar a una mujer blanca."
Ancho Mar de los Sargazos,"ficcion",Jean Rhys,6.48,"Un joven ingles, atraido por la perversa ingenuidad de Antoinette, arriesga su fortuna y su buen nombre casandose con ella, pero despues del matrimonio empiezan a circular inquietantes rumores sobre el comportamiento de la esposa."
